# station_name\taddress\tlongitude\tlatitude
禹州市范坡镇\t范坡镇政府后楼楼顶\t113.531\t34.0678
禹州市张得镇\t张得镇政府楼顶\t113.3962\t34.0829
禹州市古城镇\t古城镇中心学校楼顶\t113.5603\t34.2279
禹州市浅井镇\t浅井镇中心小学楼顶\t113.4044\t34.2924
禹州市梁北镇\t禹州市梁北镇人民政府\t113.4389\t34.1221
禹州市山货乡\t山货回族乡楼陈村村部\t113.6163\t34.1875
禹州市朱阁镇\t朱阁镇政府\t113.4642\t34.1988
禹州市郭连镇\t郭西村小学楼顶\t113.5604\t34.1723
禹州市无梁镇\t无梁镇文化体育广场\t113.5521\t34.2709
禹州市神垕镇\t神垕镇温堂村村部\t113.1986\t34.129
禹州市火龙镇\t火龙镇马寨村七组\t113.3743\t34.1881
长葛市石固镇\t长葛市石固镇便民服务中心\t113.670429\t34.164817
禹州市顺店镇\t禹州市顺北村计划生育服务站\t113.3324\t34.2436
禹州市方山镇\t方山镇中心小学楼顶\t113.208\t34.2557
禹州市花石镇\t花石镇中心学校楼顶\t113.2921\t34.2803
禹州市磨街乡\t磨街乡计划生育服务中心\t113.1566\t34.1521
禹州市苌庄镇\t苌庄镇人民政府院内\t113.3236\t34.3238
禹州市文殊镇\t文殊镇政府\t113.2709\t34.1946
禹州市方岗镇\t方岗镇计生办楼顶\t113.3493\t34.1692
禹州市鸿畅镇\t鸿畅镇人民广场内\t113.3089\t34.0936
长葛市南席镇\t长葛市南席镇镇政府\t114.093014\t34.217158
长葛市佛耳湖镇\t长葛市佛耳湖镇鑫源学校\t113.800983\t34.291491
长葛市古桥镇\t长葛市古桥镇镇政府\t114.015586\t34.231634
长葛市董村镇\t长葛市董村镇镇政府\t113.927237\t34.228574
长葛市老城镇\t长葛市老城镇卫生和计划生育办公室\t113.8417\t34.23165
长葛市后河镇\t长葛市后河镇镇政府\t113.66321\t34.24511
长葛市大周镇\t长葛市大周镇双洎河黄金大桥\t113.837513\t34.264997
鄢陵县陶城镇\t鄢陵县陶城镇人民政府\t114.237028\t33.824559
长葛市坡胡镇\t长葛市坡胡镇中心小学\t113.65405\t34.21633
鄢陵县彭店镇\t鄢陵县彭店镇中心小学\t114.198999\t34.195859
鄢陵县只乐镇\t鄢陵县只乐镇人民政府\t114.152867\t33.967368
鄢陵县马栏镇\t鄢陵县马栏镇综合文化站\t114.20939\t34.054065
鄢陵县陈化店镇\t鄢陵县陈化店镇金雨玫瑰庄园\t114.08125\t34.09355
鄢陵县南坞镇\t鄢陵县南坞镇人民政府\t114.257984\t33.897615
长葛市增福镇\t长葛市增福镇镇政府\t113.756051\t34.272616
鄢陵县安陵镇\t鄢陵县安陵镇人民政府\t114.190321\t34.103873
长葛市石象镇\t长葛市石象镇镇政府\t113.935706\t34.194316
襄城县双庙乡\t卫生院院内三层西北角\t113.638\t33.9086
鄢陵县马坊镇\t鄢陵县马坊镇人民政府\t114.216865\t34.147133
鄢陵县张桥镇\t鄢陵县张桥镇人民政府\t114.230535\t33.97089
鄢陵县柏梁镇\t鄢陵县柏梁镇人民政府\t114.134335\t34.093209
襄城县山头店镇\t财税所三层西角\t113.5217\t33.7875
襄城县紫云镇\t紫云敬老院二层西南角\t113.399\t33.8195
襄城县王洛镇\t政府大院内办公楼三层靠西\t113.4758\t33.963
襄城县丁营乡\t计生办院内国土资源顶二层\t113.6025\t33.7563
襄城县库庄镇\t便民大厅院内三楼西南角\t113.5438\t33.8958
襄城县湛北乡\t湛北乡山前姜庄村委会二层\t113.482778\t33.780833
襄城县十里铺镇\t计生办院内二层\t113.4324\t33.8809
襄城县颖回镇\t回族镇中学办公楼二层\t113.59\t33.9586
襄城县颖阳镇\t学校教学楼四楼角\t113.6058\t33.9525
襄城县范湖乡\t计生办院内二层\t113.678516\t33.845936
鄢陵县望田镇\t鄢陵县望田镇人民政府\t114.13694\t33.891682
襄城县麦岭镇\t镇政府隔壁公安局三层\t113.6386\t33.7774
建安区将官池镇\t将官池镇政府楼顶\t113.857222\t33.998056
建安区张潘镇\t张潘镇中心水厂楼顶\t113.987222\t34.002778
建安区小召乡\t小召乡中心水厂楼顶\t113.902714\t34.159218
建安区灵井镇\t灵井镇郭店村委会楼顶\t113.649444\t34.097222
建安区椹涧乡\t椹涧乡水库\t113.667222\t34.007222
建安区艾庄回族乡\t艾庄乡卫生院楼顶\t113.653333\t34.144722
建安区榆林乡\t榆林乡政府楼顶\t113.738056\t33.922778
建安区五女店镇\t五女店镇政府楼顶\t114.002222\t34.068056
建安区河街乡\t河街乡派出所楼顶\t113.766944\t34.066667
建安区陈曹乡\t陈曹乡河信村东\t113.978012\t34.136311
建安区蒋李集镇\t蒋李集镇政府楼顶\t113.836173\t33.93622
建安区苏桥镇\t苏桥镇中心小学楼顶\t113.786111\t34.138889
建安区桂村乡\t桂村乡贺庄村委会楼顶\t113.714167\t34.103889
襄城县姜庄乡\t养老院大门口右手边二层角\t113.7039\t33.7395
襄城县茨沟乡\t政府院内计生办二层\t113.5809\t33.8337
禹州市鸠山镇\t鸠山镇联通公司顶楼\t113.1674\t34.2197
襄城县汾陈镇\t明德小学宿舍楼3楼\t113.5364\t33.975
禹州市小吕镇\t禹州市小吕镇计生办院内\t113.4678\t34.0537
鄢陵县大马镇\t鄢陵县大马镇人民政府\t114.153062\t34.038306
示范区尚集镇\t许昌市城乡一体化示范区芙蓉湖附近\t113.8548\t34.0857
禹州市褚河镇\t许昌市禹州市褚河商业街\t113.5532\t34.1161
襄城县城关镇\t河南省许昌市襄城县城关镇西大街413号\t113.4775\t33.8448
长葛市和尚桥镇\t河南省许昌市长葛市魏武大道北段西侧\t113.8019\t34.2052
